Gene_ID	Plastochron3_Rep1	Plastochron3_Rep2	Plastochron3_Rep3	Plastochron4_Rep1	Plastochron4_Rep2	Plastochron4_Rep3	Plastochron5_Rep1	Plastochron5_Rep2	Plastochron5_Rep3
LOC_Osp1g01130	47.344674042	51.5386039375	57.9589292577	319.3648470928	139.2965097941	166.947207873	99.5522572635	51.2704382005	158.7398748813
LOC_Osp1g01120	111.5374718745	127.1666100239	121.4328124795	428.0846395936	303.9507225745	389.4155855443	306.7330585282	100.1059201794	482.9784952499
LOC_Osp1g01110	229.0886875055	246.8332802066	240.1600606112	242.608571304	225.1052230017	240.9933401997	148.0265614416	244.5085639409	478.4448528125
LOC_Osp1g01100	1864.1521001649	2702.897394556	2635.8853780037	15427.719195688	11562.2228178131	13151.9713461522	14087.2497096917	5852.9140095095	16046.8066103921
LOC_Osp1g01090	89.8205054436	117.1522394845	125.8789769157	415.1019723486	405.0785057785	564.0751328296	438.4909602371	210.9451273833	516.9392204799
LOC_Osp1g01080	0	0	0.5740926607	0	0	0	0	0	0
LOC_Osp1g01070	0	0	0	0	0	0	0	0	0
LOC_Osp1g01060	1286.8989833002	1821.9145767375	1328.4687390098	16775.2133889052	10721.3116127029	12798.1936752648	37056.0765221259	28647.0456701185	41761.2937705087
LOC_Osp1g01050	0	0	0	0	0	0	174.5937305464	214.9579352364	160.7363412757
LOC_Osp1g01040	511.5900249675	721.8150193971	688.3004559896	4177.5403099232	2758.2062897438	3606.7656952575	7179.1058086546	3305.6965663452	5546.4332019953
LOC_Osp1g01030	0	0	0	0	0	0	0	0	0
LOC_Osp1g01020	0	0	0	0	0	0	0	0	0
LOC_Osp1g01010	1108.4812088683	1279.1732654559	1196.7938691683	21172.2973964731	16251.9472007814	16059.177975921	13037.8796975544	4582.7824054117	11726.4117398195
LOC_Osp1g01000	0	0	0	0.6940649343	0	0.1381314522	0	0	0
LOC_Osp1g00990	0	0	0	0	0	0	0	0	0
LOC_Osp1g00980	129.5606257577	153.2213143277	247.3728630826	1839.5789257016	1092.6829573647	1366.357954907	482.2886466327	571.0848923721	517.4591336035
LOC_Osp1g00970	1246.7852636746	1429.0420055193	1518.6888455072	9897.8627677406	7850.6171856586	9445.2752192273	6444.1471317593	5850.9465648825	7959.391601425
LOC_Osp1g00960	3594.9895040708	3725.4036436551	3730.9915578	28420.5270947502	20748.4424053868	27154.3413035504	28678.2806073143	25087.8409416377	38801.9274747564
LOC_Osp1g00950	442.2873526807	518.6157822549	454.1256167349	4145.5183456378	2908.1861745311	4104.8984076204	7538.7078653764	5230.6560771858	9427.9174136698
LOC_Osp1g00940	228.9802231892	280.7058408766	267.8081188567	3261.7398939581	1878.1334553585	2568.8613116754	5006.6344274262	3547.2442235206	6196.3246064285
