Gene_ID	Roots_Control_full_fertilizer	Roots_Control_water	Roots_Ammonium_stress	Roots_Nitrate_stress	Roots_Urea_stress	Shoots_Control_full_fertilizer	Shoots_Control_water	Shoots_Ammonium_stress	Shoots_Nitrate_stress	Shoots_Urea_stress
Sobic.001G000100	0.674	0.148	0.2	0.069	0.112	0.089	0	0.113	0.053	0.123
Sobic.001G000200	43.567	45.581	47.126	47.856	48.479	28.639	28.855	33.056	31.357	30.249
Sobic.001G000300	0.203	0.236	0.473	0.224	0.219	0.063	0.03	0.193	0.028	0.024
Sobic.001G000400	38.347	50.45	66.413	53.744	46.636	11.004	8.146	10.976	11.815	10.557
Sobic.001G000501	0	0	0	0	0	0	0	0	0	0
Sobic.001G000700	11.511	14.143	15.578	12.986	12.438	6.575	13.422	8.773	9.438	8.727
Sobic.001G000800	38.478	37.071	36.455	36.248	31.941	144.464	53.951	133.432	168.558	147.168
Sobic.001G000900	0.016	0.009	0.018	0.019	0	0.065	0.048	0.015	0.038	0.084
Sobic.001G001000	1.701	1.021	1.891	0.957	0.844	2.227	2.008	2.581	2.664	2.345
Sobic.001G001066	0.009	0	0	0	0	0	0	0	0	0
Sobic.001G001132	0.919	0.56	0.444	0.521	0.129	1.029	0.735	0.724	1.138	0.734
Sobic.001G001200	0.372	0.417	0.207	0.359	0.261	0.159	0.234	0.208	0.151	0.237
Sobic.001G001300	0.966	1.942	1.358	1.297	1.254	14.148	8.738	14.058	18.177	15.877
Sobic.001G001400	42.013	43.501	41.881	42.86	41.782	54.889	46.427	38.084	37.432	38.096
Sobic.001G001700	0.143	0.208	0.179	0.21	0.041	0.76	0.673	0.53	0.391	0.594
Sobic.001G001800	0.023	0.041	0.009	0.014	0	0.023	0.024	0	0	0.031
Sobic.001G001900	12.777	15.45	12.715	13.084	13.639	12.635	13.223	14.466	12.196	14.363
Sobic.001G002000	41.601	56.703	45.024	41.998	37.279	37.519	41.898	34.699	33.926	34.26
Sobic.001G002050	15.324	19.754	9.81	9.725	12.072	17.79	14.226	9.866	8.398	12.387
Sobic.001G002100	1.91	2.437	1.151	0.919	1.379	2.463	1.365	0.99	1.002	1.283
Sobic.001G002200	0	0	0	0	0	0	0	0	0	0
Sobic.001G002300	0.064	0.019	0.015	0.055	0.037	0.755	0.362	0.468	0.285	0.5
Sobic.001G002400	0.337	0.109	0.096	0.081	0.077	0.485	0.284	0.302	0.329	0.417
Sobic.001G002500	0.167	0.052	0.048	0.064	0.06	0.008	0.049	0.052	0.017	0.037
Sobic.001G002600	8.398	10.115	8.766	8.518	7.82	9.823	13.643	10.037	8.685	10.257
Sobic.001G002650	0	0.011	0.026	0	0.009	0.01	0.039	0	0	0.01
Sobic.001G002700	1.19	0.992	0.747	0.87	0.914	1.042	1.789	1.545	1.142	1.605
Sobic.001G002800	45.876	63.98	41.968	40.757	39.846	23.157	14.561	14.722	13.476	14.884
Sobic.001G002900	0.02	0.65	0.422	0.2	0.294	0	0	0.02	0	0
Sobic.001G003000	11.898	15.003	10.044	9.105	9.51	7.801	9.28	6.788	6.969	7.149
Sobic.001G003100	71.151	67.927	82.066	82.097	83.153	100.798	68.052	88.746	88.864	83.978
Sobic.001G003200	2.612	5.329	3.331	3.259	3.034	116.178	74.74	95.867	74.52	76.368
Sobic.001G003300	3.767	4.428	3.77	4.071	4.037	5.251	3.452	3.766	3.785	3.971
Sobic.001G003400	0	0.029	0.042	0.01	0.022	0.296	0.126	0.992	0.958	1.347
Sobic.001G003500	12.645	12.291	12.787	13.3	14.382	11.594	10.261	8.538	8.518	8.065
Sobic.001G003600	0.022	0.068	0.04	0.032	0.034	1.22	0.909	2.193	1.833	2.772
Sobic.001G003700	1.369	1.074	0.418	0.339	0.525	0.193	0.159	0.192	0.108	0.161
Sobic.001G003900	0.746	0.963	1.043	1.13	1.271	14.587	4.753	17.159	20.433	16.754
Sobic.001G004000	1.069	0.751	0.66	0.641	0.973	0.635	0.447	0.304	0.316	0.398
Sobic.001G004100	27.39	21.473	28.383	30.007	30.451	18.133	14.394	15.938	18.019	16.043
Sobic.001G004200	9.755	10.716	9.922	10.736	11.02	7.493	7.777	5.729	7.237	6.812
Sobic.001G004300	0.601	1.234	0.679	0.567	0.81	0.588	0.665	0.548	0.436	0.789
Sobic.001G004400	29.111	35.863	36.264	38.993	38.942	28.699	25.58	22.94	24.789	22.738
Sobic.001G004500	0.422	1.15	1.179	1.048	1.274	21.982	10.055	12.94	6.772	8.045
Sobic.001G004550	0	0	0	0	0	0	0	0	0	0
Sobic.001G004600	1.347	1.702	2.254	2.477	1.868	1.435	1.714	1.605	1.35	1.589
Sobic.001G004700	3.33	3.196	2.304	1.987	2.592	2.402	1.67	1.802	1.817	1.982
Sobic.001G004800	3.221	0.504	1.424	1.422	1.961	7.081	2.986	5.282	4.548	6.675
Sobic.001G004901	0	0	0	0.028	0.043	0	0	0	0.044	0.019
Sobic.001G005000	3.921	1.952	4.395	3.995	4.347	3.032	1.597	2.306	2.291	1.896
Sobic.001G005100	0.243	2.3	1.189	0.265	3.07	0.01	0.021	0.011	0	0
Sobic.001G005200	0.548	0.572	0.563	0.931	0.652	75.093	57.475	89.396	92.594	94.14
Sobic.001G005300	2.008	2.486	1.855	1.596	2.385	2.524	0.686	1.142	0.493	0.838
Sobic.001G005400	0	0	0	0	0	0	0	0	0	0
Sobic.001G005500	0.903	0.346	0.287	0.326	0.37	26.763	4.373	6.644	6.359	7.516
Sobic.001G005600	52.963	53.627	52.789	51.057	50.662	38.284	34.961	32.018	32.954	33.48
Sobic.001G005700	2.775	13.76	5.906	2.826	16.124	0.697	2	1.502	1.08	1.251
Sobic.001G005800	10.402	10.832	11.008	11.525	10.453	7.505	6.426	6.422	7.509	6.287
Sobic.001G005900	76.043	72.232	82.112	87.691	83.537	74.831	111.521	79.834	77.394	65.261
Sobic.001G006000	1.113	1.941	1.342	1.151	1.37	14.226	4.753	6.285	5.61	6.011
Sobic.001G006101	0.107	0.432	0.509	0.233	0.452	0.021	0.021	0.009	0.01	0
Sobic.001G006201	1.595	2.153	2.204	1.632	2.173	0.296	0.245	0.328	0.147	0.193
Sobic.001G006300	0.029	0.064	0.052	0.036	0.066	1.356	1.622	1.746	2.598	4.112
Sobic.001G006400	18.204	16.154	16.178	16.616	18.865	29.737	21.615	26.576	30.011	30.092
Sobic.001G006500	0.245	0.438	0.282	0.17	0.29	0.542	0.476	0.263	0.402	0.323
Sobic.001G006600	0.003	0	0.003	0	0	0.55	1.082	0.638	0.706	0.586
Sobic.001G006700	50.059	56.721	45.084	40.57	37.426	30.794	37.337	26.778	25.375	26.746
Sobic.001G006800	8.226	10.38	9.568	9.445	10.847	8.618	7.944	7.813	8.13	8.161
Sobic.001G006900	0.151	0.345	0	0	0.088	0.135	0.089	0.137	0.103	0.209
Sobic.001G007000	12.8	17.376	14.619	12.713	12.414	12.084	17.998	11.92	12.475	12.047
Sobic.001G007100	5.762	8.587	6.375	5.822	5.948	6.971	10.397	7.895	7.618	7.513
Sobic.001G007200	37.556	50.835	48.662	44.117	41.103	25.55	34.967	44.727	41.279	41.071
Sobic.001G007300	7.037	5.789	4.924	5.059	6.613	4.511	4.056	5.822	4.148	5.505
Sobic.001G007400	12.559	13.826	15.685	14.836	14.64	11.841	12.419	12.258	12.573	11.443
Sobic.001G007500	4.14	4.332	5.196	5.123	5.403	4.801	3.184	3.896	3.819	3.612
