Gene_ID	Total.leaf_rpkm	Mesophyll.cells_rpkm	Bundle.sheath.cells_rpkm
Sobic.001G000100	0	0	0
Sobic.001G000200	84.2759725619	26.4349264659	31.1566326808
Sobic.001G000300	1.8425854512	0.7214422816	0.516126289
Sobic.001G000400	5.3202771364	1.1727029915	4.0402655946
Sobic.001G000501	2.896392884	3.3601421333	0.72116276
Sobic.001G000700	188.6082068098	98.2951943611	66.5746402628
Sobic.001G000800	85.1103701094	73.7012602562	241.883359261
Sobic.001G000900	0	0	0
Sobic.001G001000	0	0	0.224978126
Sobic.001G001066	0	0	0
Sobic.001G001132	0	0	1.0854614738
Sobic.001G001200	0.062288019	0	0.0697899445
Sobic.001G001300	4.5156074987	1.7564763086	1.2896673226
Sobic.001G001400	10.9212513953	1.9631955372	6.7064288765
Sobic.001G001700	0	0	0
Sobic.001G001800	0.733518406	0	0.6848857087
Sobic.001G001900	1.1328154961	0.4638330458	0.5475200406
Sobic.001G002000	44.2265775369	10.7436495873	29.1554596298
Sobic.001G002050	1.0896244956	0.7239772158	0.7769097056
Sobic.001G002100	0	0	0
Sobic.001G002200	0	0	0
Sobic.001G002300	0	0.0757069061	0
Sobic.001G002400	0	0	0
Sobic.001G002500	0.0929800706	0	0.0694523502
Sobic.001G002600	11.2886108669	0.7301343572	7.6113081654
Sobic.001G002650	0	0	0
Sobic.001G002700	0	0	0
Sobic.001G002800	0.1733493516	0	1.38733876
Sobic.001G002900	0	0	0
Sobic.001G003000	9.3015479944	216.9925956784	9.6959220318
Sobic.001G003100	76.3300824159	123.9038743977	31.0334658022
Sobic.001G003200	238.9437306934	140.8213811733	312.1765723596
Sobic.001G003300	0.1178576815	0.1968885959	0.2641047566
Sobic.001G003400	0	0	0
Sobic.001G003500	5.1889583836	0.8936575359	5.8738501535
Sobic.001G003600	0	0	0
Sobic.001G003700	0	0	0
Sobic.001G003900	3.7781083265	2.6537262871	3.0016818386
Sobic.001G004000	0	0	0.2054657126
Sobic.001G004100	8.9562621273	1.1509225841	9.726180449
Sobic.001G004200	31.2037071712	0.6591296085	14.6516464765
Sobic.001G004300	0.2408162648	0	0.4796800135
Sobic.001G004400	34.9486236856	37.2707187265	13.0712238142
Sobic.001G004500	0.1170745739	0	0
Sobic.001G004550	0	0	0
