test_id	Wild-type plant leaf	Hda108 mutant plant leaf
AC148152.3_FG001	0	0
AC148152.3_FG005	0.292814	0.527499
AC148152.3_FG006	0	0
AC148152.3_FG008	8.4761	8.69852
AC148167.6_FG001	32.777	28.6181
AC149475.2_FG002	13.7893	18.2335
AC149475.2_FG003	39.1725	47.0405
AC149475.2_FG005	4.00278	3.13937
AC149475.2_FG007	1.88602	1.05118
AC149810.2_FG003	0	0
AC149810.2_FG004	0	0
AC149810.2_FG008	9.51077	9.50137
AC149818.2_FG001	2.91603	3.50904
AC149818.2_FG004	21.4322	24.9755
AC149818.2_FG005	1.03448	1.49987
AC149818.2_FG006	13.2835	17.4476
AC149818.2_FG007	0.910733	1.55833
AC149818.2_FG008	2.02672	2.71719
AC149818.2_FG009	0	0
AC149828.2_FG002	12.6963	15.366
AC149828.2_FG004	0.43319	0.434457
AC149828.2_FG005	0.060763	0.158857
AC149829.2_FG002	1.06051	1.11262
AC149829.2_FG003	4.14368	4.42303
AC149829.2_FG004	0.833903	0.348649
AC149829.2_FG006	16.7195	16.401
AC150739.3_FG001	2.11151	2.02637
AC152495.1_FG002	3.03147	2.38034
AC152495.1_FG003	0.351474	0.323488
AC152495.1_FG010	2.91435	1.83034
AC152495.1_FG011	0.198118	0.197754
AC152495.1_FG012	0.604112	0.987578
AC152495.1_FG013	0	0
AC152495.1_FG015	0	0
AC152495.1_FG017	0.760974	0.560808
AC155352.2_FG001	0	0
AC155352.2_FG010	0	0
AC155376.2_FG002	0	0
AC155376.2_FG004	1.51285	1.26956
AC155376.2_FG005	4.11456	5.82103
AC155377.1_FG001	20.1214	21.0152
AC155377.1_FG002	7.41399	7.62268
AC155390.2_FG002	0.879147	0.714636
AC155434.2_FG001	0.995477	1.61263
AC155434.2_FG003	0.0542302	0.0341415
AC155434.2_FG004	6.48015	6.07999
AC155434.2_FG005	3.17265	2.371
AC155434.2_FG006	2.10381	0.00913872
AC155496.2_FG009	9.44911	8.68287
AC155610.2_FG007	33.7951	37.0708
AC155610.2_FG009	5.9278	0.0187608
AC155622.2_FG001	16.8029	16.2458
AC155622.2_FG004	16.8269	15.1116
AC155624.2_FG006	3.20264	3.18516
AC155624.2_FG011	18.3586	12.7659
AC159612.1_FG007	2.1213	5.69183
AC165171.2_FG002	0.945791	0.911279
AC165178.2_FG004	2.11656	2.14152
AC166636.1_FG007	7.35644	5.77186
AC166636.1_FG008	0.16474	0.548298
AC166636.1_FG009	0.140757	0.350075
AC177831.3_FG004	0.672433	0.761967
AC177833.2_FG001	0	0
AC177837.3_FG002	0.059693	0.0505535
AC177838.2_FG015	0.310803	0.186224
AC177844.2_FG003	0	0
AC177850.2_FG003	0.0926896	0
AC177850.2_FG005	0.872908	0.811847
AC177860.4_FG002	0	0
AC177890.3_FG005	0.867677	1.13091
AC177893.3_FG003	0	0
AC177893.3_FG006	0	0
AC177897.2_FG002	0.985626	0.841608
AC177897.2_FG022	0.515519	1.11308
AC177897.2_FG029	0	0
AC177899.2_FG009	0.223245	0.11697
AC177899.2_FG012	0	0
AC177900.4_FG001	0	0
AC177905.2_FG001	0	0
AC177905.2_FG003	0.255372	0.167857
AC177908.3_FG002	12.6405	14.1287
AC177908.3_FG003	0	0
AC177908.3_FG006	0	0
AC177911.4_FG005	0.307766	0.0910724
AC177920.3_FG008	0	0
AC177922.2_FG002	0	0.0536725
AC177924.2_FG001	0	0
AC177924.2_FG003	4.78436	6.67368
AC177926.2_FG003	0	0
AC177930.2_FG001	0	0.0760909
AC177930.2_FG002	0.0285595	0.0324632
AC177936.6_FG008	21.1939	19.4838
AC177941.3_FG001	0.0316751	0.0608927
AC177941.3_FG006	0	0
AC177946.2_FG004	6.94313	8.19568
AC177947.2_FG003	0.146185	0.464673
AC182105.3_FG006	0	0
AC182413.4_FG002	0.0702169	0
AC182439.4_FG004	0	0
AC182482.3_FG003	0.74163	0.710391
AC182615.4_FG001	0	0
AC182617.3_FG001	12.2675	10.9433
AC182627.2_FG003	0	0
AC182831.3_FG004	0	0
AC182838.3_FG006	0.364121	0.805522
AC183315.4_FG006	4.60489	4.01632
AC183319.3_FG001	1.60753	1.13316
AC183372.4_FG006	0	0
AC183412.5_FG005	0.628928	1.07962
AC183413.3_FG006	0	0
AC183509.1_FG001	0	0
AC183514.3_FG006	0	0
AC183817.2_FG002	0	0
AC183888.4_FG006	0.184731	0.051462
AC183888.4_FG008	0	0
AC183914.3_FG004	0	0
AC183915.4_FG001	0	0
AC183927.3_FG004	0	0
AC183928.4_FG001	0.0761777	0.0620484
AC183932.3_FG007	3.33669	5.19692
AC183938.4_FG011	0	0
AC183944.4_FG003	0	0
AC183950.2_FG002	0	0
AC183950.2_FG003	0.0716626	0.0219907
AC183950.2_FG004	0.346358	0.233688
AC183950.2_FG005	0.17744	0.291659
AC183968.2_FG001	0.0394725	0
AC184112.4_FG010	0	0
AC184116.3_FG001	0	0
AC184127.3_FG003	0	0
AC184130.4_FG005	0	0.0587711
AC184130.4_FG012	0.78438	0.784471
AC184133.3_FG001	0.494399	3.27516
AC184164.2_FG004	0	0
AC184164.2_FG006	0	0
AC184169.3_FG001	4.24227	4.4411
AC184170.4_FG002	0	0.0639289
AC184171.4_FG002	0	0
AC184172.3_FG001	0	0
AC184699.3_FG005	0.0394366	0.0547537
AC184764.3_FG003	0	0
AC184764.3_FG006	0	0
AC184765.4_FG005	0.0723905	0.172828
AC184771.4_FG003	0	0
AC184775.2_FG002	0	0
AC184788.2_FG001	0	0.0109958
AC184789.4_FG002	0	0
AC184794.2_FG003	0	0
AC184831.3_FG003	1.13385	1.56911
AC184831.3_FG005	0	0
AC184831.3_FG008	0	0
AC184836.3_FG002	0	0
AC184857.2_FG006	0	0
AC184871.2_FG009	0	0
AC185108.3_FG006	0	0
AC185108.3_FG010	0.2291	0.280658
AC185108.3_FG011	0	0
AC185122.3_FG009	0	0
AC185126.3_FG006	0	0
AC185130.2_FG004	0.0182947	0
AC185130.2_FG005	0	0
AC185217.3_FG004	0	0
AC185217.3_FG007	0	0.0564905
AC185226.4_FG001	11.1905	10.3158
AC185252.4_FG002	0	0
AC185254.4_FG002	0	0.185579
AC185256.3_FG002	0.0537131	0.0712752
AC185256.3_FG003	0	0
AC185261.4_FG002	0	0
AC185265.3_FG003	0	0
AC185276.2_FG004	0	0.597265
AC185276.2_FG006	0	0
AC185281.5_FG006	0	0
AC185300.4_FG002	3.7327	4.35785
AC185305.3_FG003	1.71506	1.7464
AC185415.3_FG005	0.355264	0.26351
AC185422.3_FG005	1.06061	0.908102
AC185427.5_FG004	0.177475	0.724874
AC185443.3_FG004	0	0
AC185460.3_FG004	0	0
AC185466.3_FG001	0.731891	0.708026
AC185471.3_FG005	3.82292	3.99368
AC185473.3_FG005	0	0
AC185475.3_FG001	0	0
AC185478.4_FG005	0	0.0600653
AC185478.4_FG007	0	0
AC185487.4_FG001	0	0
AC185500.3_FG001	0	0
AC185501.3_FG001	0	0.0773887
AC185501.3_FG006	0	0
AC185504.4_FG002	0	0
AC185522.2_FG002	0	0
AC185530.2_FG004	0	0
AC185586.4_FG003	0	0
AC185587.3_FG003	0	0
AC185588.2_FG002	0.0620192	0.0545933
AC185593.3_FG003	0.708966	0.845324
AC185605.3_FG003	0	0
AC185610.3_FG001	0	0
AC185611.3_FG001	0	0
AC185623.4_FG010	0	0.315697
AC185623.4_FG012	0	0
AC185628.3_FG010	0	0
AC185642.4_FG001	0	0
AC185648.3_FG007	0	0
AC185649.2_FG003	0	0
AC185655.3_FG004	0	0
AC185655.3_FG005	0	0
AC185656.3_FG002	0	0
AC185660.3_FG003	0	0
AC186009.3_FG001	0.195219	0.385179
AC186013.3_FG001	0	0.0496718
AC186145.3_FG002	0	0
AC186147.3_FG008	9.42218	13.7092
AC186156.3_FG004	0	0.10675
AC186156.3_FG005	0.148927	0.107061
AC186164.3_FG001	0.924361	0.181143
AC186166.3_FG008	0.310934	0.270611
AC186189.3_FG004	0	0
AC186189.3_FG005	0	0
AC186195.4_FG001	0	0
AC186231.4_FG002	0.747247	0.57437
AC186233.3_FG007	0.0433274	0.0441909
AC186283.4_FG002	0	0
AC186284.3_FG007	0.141292	0.213727
AC186287.7_FG005	0.0233592	0
AC186309.3_FG002	0	0
AC186309.3_FG006	0.0763753	0
AC186310.4_FG004	0.0663039	0.0141536
AC186322.4_FG003	0	0
AC186322.4_FG005	0	0
