test_id	Wild-type plant  post-meiotic anther	hda108 mutant plant post-meiotic anther	Wild-type plant mitotic anther	hda108 mutant plant mitotic anther
AC148152.3_FG001	0	0	0	0
AC148152.3_FG005	0.0448105	59.2533	1.23671	46.9629
AC148152.3_FG006	0	0	0	0
AC148152.3_FG008	22.4015	5.46028	35.0531	10.8162
AC148167.6_FG001	112.938	38.7583	273.877	80.0871
AC149475.2_FG002	25.4857	15.5821	21.0899	9.22933
AC149475.2_FG003	33.9136	44.0835	19.4752	25.7438
AC149475.2_FG005	4.03117	4.63328	2.93583	4.86962
AC149475.2_FG007	7.7738	12.1408	2.04726	3.99379
AC149810.2_FG003	0	0	0	0.0123189
AC149810.2_FG004	0	0	0	0
AC149810.2_FG008	1.18247	3.49784	1.01928	3.44595
AC149818.2_FG001	15.4247	11.8873	15.9995	7.60189
AC149818.2_FG004	83.7271	45.4954	48.002	18.6577
AC149818.2_FG005	133.747	40.797	103.913	36.0321
AC149818.2_FG006	35.95	23.1898	28.3066	26.8376
AC149818.2_FG007	7.64384	2.88638	2.42319	1.24415
AC149818.2_FG008	3.50069	3.96754	2.4198	3.04013
AC149818.2_FG009	0	0.818612	0	0.325256
AC149828.2_FG002	17.5052	18.4263	11.8856	11.471
AC149828.2_FG004	0.230876	0	0	0
AC149828.2_FG005	0	0.290529	0.573086	0.99066
AC149829.2_FG002	8.34463	32.706	9.48346	6.80262
AC149829.2_FG003	1.68032	1.81498	0.652497	2.0149
AC149829.2_FG004	0.473043	0.361655	0	0
AC149829.2_FG006	44.3802	40.9776	56.0893	39.7524
AC150739.3_FG001	1.16236	1.73756	0.504142	1.62793
AC152495.1_FG002	1.29171	1.70734	0.813058	1.75228
AC152495.1_FG003	0.473836	0.485063	0.358485	0.584858
AC152495.1_FG010	1.39385	0.673337	0.637869	1.09929
AC152495.1_FG011	0.384696	0.793874	0.265825	0.452868
AC152495.1_FG012	1.59403	1.82324	1.60412	1.17161
AC152495.1_FG013	0	0	0	0
AC152495.1_FG015	0	0	0	0
AC152495.1_FG017	3.2572	2.08088	2.74016	2.01227
AC155352.2_FG001	0	0	0.0421939	0
AC155352.2_FG010	0	0	0	0
AC155376.2_FG002	0	0	0	0
AC155376.2_FG004	25.6745	9.75053	7.06406	3.32843
AC155376.2_FG005	2.51959	6.86262	1.28621	5.12604
AC155377.1_FG001	10.837	12.2916	8.98589	14.5426
AC155377.1_FG002	4.47856	6.39796	4.27444	5.15224
AC155390.2_FG002	0.398581	0.879155	0.353592	0.853055
AC155434.2_FG001	8.57373	2.41318	12.1206	0.926529
AC155434.2_FG003	0.0121199	0.240759	0.125249	0.0512379
AC155434.2_FG004	5.43372	8.17798	2.46476	7.974
AC155434.2_FG005	1.81293	1.13063	0.64171	0.354726
AC155434.2_FG006	4.66654	6.62586	3.11256	0.743693
AC155496.2_FG009	9.1592	9.97417	4.55681	9.60555
AC155610.2_FG007	9.82948	10.3584	3.04516	3.28407
AC155610.2_FG009	4.45744	2.52726	3.88912	0
AC155622.2_FG001	15.0256	14.7881	10.1866	16.0439
AC155622.2_FG004	25.8317	16.8496	14.0021	15.2457
AC155624.2_FG006	6.31594	8.15926	5.62735	8.40419
AC155624.2_FG011	16.1894	20.5644	16.7458	24.7578
