Gene_ID	10-oxo-11-phytoenoic.acid_Leaf	cis-12-oxo-phytodienoic.acid_Leaf	Dimeythl.sulfoxide_Leaf
AC148152.3_FG001	0.6049015	1.2179845	0.685981
AC148152.3_FG005	1.046714	3.8810025	0.07364175
AC148152.3_FG006	0	0	0
AC148152.3_FG008	5.8475825	4.9003325	9.26128
AC148167.6_FG001	27.643575	34.280275	33.63455
AC149475.2_FG002	4.676485	5.812725	3.114915
AC149475.2_FG003	22.7577	24.48285	22.083875
AC149475.2_FG005	2.81356	2.753595	3.775615
AC149475.2_FG007	0.53599525	0.93583	0.15052175
AC149810.2_FG003	0	0	0
AC149810.2_FG004	0	0	0
AC149810.2_FG008	1.420293	1.079578	1.86876
AC149818.2_FG001	0.1661581	0.239317	0.15518725
AC149818.2_FG004	4.4049825	5.266835	1.5034325
AC149818.2_FG005	0.23099715	0.2232465	0.1075464268
AC149818.2_FG006	9.4749625	10.5623	12.8669325
AC149818.2_FG007	0.313257	0.081930925	0.5093375
AC149818.2_FG008	1.1387105	1.1318765	1.4810125
AC149818.2_FG009	0.082931	0	0
AC149828.2_FG002	16.91705	20.930275	12.5226
AC149828.2_FG004	0.26521975	0	0
AC149828.2_FG005	0.06978175	0	0.09567875
AC149829.2_FG002	0	1.5246	2.4867025
AC149829.2_FG003	0.96098975	0.4563935	0.7339605
AC149829.2_FG004	7.408685	4.6616225	7.624955
AC149829.2_FG006	18.057075	26.2474	38.4139
AC150739.3_FG001	1.363333	1.5174225	0.9033155
AC152495.1_FG002	0.23025375	0.22240575	0.062338475
AC152495.1_FG003	0.109573925	0.13609675	0.132254
AC152495.1_FG010	0.3571255	0.42311875	0.188675375
AC152495.1_FG011	0	0.08772825	0.066864
AC152495.1_FG012	0.01392485	0.018655925	0
AC152495.1_FG013	0	0	0
AC152495.1_FG015	0.0049432	0	0
AC152495.1_FG017	0.19851	0.2487515	0.15099945
AC155352.2_FG001	0.0495028	0.0580918	0.060904
