Gene_ID	Bundle.Sheath.Cells	Mesophyll.cells
GRMZM2G448446	64.9464242579	11.3069019566
GRMZM2G082032	420.1675303959	247.2542401371
GRMZM2G034503	25.9874543029	12.8045048648
GRMZM2G019437	25.7653393089	5.1667300332
GRMZM2G019926	31.0220608345	12.018263338
GRMZM2G052630	28.9860067225	7.1510538865
GRMZM2G702490	28.356680906	15.1257893724
GRMZM2G088689	111.4276886777	19.2441973699
GRMZM2G053720	204.7385502452	96.5433577812
GRMZM2G090087	22.7297677236	7.4880145408
GRMZM2G029262	135.5375074275	59.9111586243
GRMZM2G039891	39.4035525062	14.6945153928
GRMZM2G076673	734.7564002906	126.3228053033
GRMZM2G104310	328.3229803596	64.1722846146
GRMZM2G070218	280.6669743911	214.3506562175
GRMZM2G400173	35.8345523721	10.1836997755
GRMZM2G168791	61.4024561282	16.461151963
GRMZM2G169593	137.0819704895	105.8430855342
GRMZM2G054465	43.6826154949	6.5145726505
AC215264.2_FG005	15.1038195948	2.3212845076
GRMZM2G044247	19.2499661503	4.9420895969
GRMZM2G113873	194.8688881061	93.7873821235
GRMZM2G117198	65.8200765678	25.421809366
GRMZM2G077215	30.281677521	14.7513886454
GRMZM2G161868	140.0435037434	48.5972143698
GRMZM2G101979	637.9204327246	249.0326435906
GRMZM2G053999	32.6138849585	15.687390463
GRMZM2G048740	63.5989266273	35.4931889234
GRMZM2G165383	25.0372957197	8.8670572212
GRMZM2G181192	354.0389607562	288.0015192883
GRMZM2G067028	153.3704033859	19.7184382883
GRMZM2G049811	14.0361692283	4.71272458
GRMZM2G135283	645.5278712706	89.5566539079
GRMZM2G039238	188.982840764	120.9314348339
GRMZM2G062420	120.5344034334	87.3851296911
GRMZM2G393334	121.3142738323	43.6052046734
GRMZM2G008773	16.8807395472	0.8985617449
GRMZM2G005562	63.6297759345	35.2835245162
GRMZM2G095968	29.6400119802	6.2899322143
GRMZM2G019411	18.2134295114	1.5724830536
GRMZM2G110558	23.6552468655	10.5955405752
GRMZM2G149265	106.5411588088	57.0212307282
GRMZM2G160563	31.1701374972	5.316490324
GRMZM2G326111	3968.5656177124	744.7454461786
GRMZM2G087570	237.0707369741	177.3910644715
GRMZM2G096585	230.2592104901	171.5878532024
GRMZM2G372077	193.7583131359	144.5935607828
GRMZM2G117746	28.2641329918	9.9365952956
GRMZM2G095562	208.5659794054	114.4917423288
GRMZM2G134313	73.4707041378	45.0778475356
GRMZM2G003043	40.7136784079	16.4886080188
GRMZM2G037140	569.1696722324	125.7986442854
GRMZM2G471926	565.4307364993	441.7928579071
GRMZM2G436981	340.3542092035	120.3323936706
GRMZM2G346133	102.1728972593	25.6838898749
GRMZM2G010937	100.2725800634	36.5415109591
GRMZM2G177867	86.1435985226	60.4657174169
GRMZM2G037472	71.9652580696	23.1005248584
GRMZM2G126010	64.4873866035	6.5145726505
GRMZM2G350802	58.132429832	28.5343274126
GRMZM2G147775	28.3196617403	9.996499412
GRMZM2G181522	27.8163773724	8.4477284069
GRMZM2G172834	25.6172626462	3.8188874158
GRMZM2G082484	19.671984639	2.6664463208
GRMZM2G382341	18.3121472841	7.0761737411
GRMZM2G181390	15.1038195948	3.669127125
GRMZM2G114841	12.3934878191	1.647363199
GRMZM2G479245	6.1328417797	0.7987215513
GRMZM2G177914	32.4108965309	9.3406741409
GRMZM2G051129	76.1854429564	26.8445321288
GRMZM2G178826	30.4297541837	12.3552239923
GRMZM2G336908	56.491246818	11.5315423928
GRMZM2G143480	66.6344982126	34.7443874693
