Gene_ID	Opaque2_endosperm	PbfRNAi_endosperm	PbfRNAi.opaque2_endosperm	Wildtype_endosperm
AC148152.3_FG001	0.0951283333	0.0720753333	0	0.1205113667
AC148152.3_FG005	0.197609	0.9513516667	4.093225	0.9815096667
AC148152.3_FG006	0	0	0	0
AC148152.3_FG008	0.0167614667	0.0170552667	0.0191982333	0
AC148167.6_FG001	13.5132333333	16.1653666667	11.0561	15.7796
AC149475.2_FG002	14.7076	9.38132	10.7274333333	9.7457066667
AC149475.2_FG003	31.4249	32.6979	35.4450666667	24.0749666667
AC149475.2_FG005	4.9972566667	4.6647466667	6.3307166667	4.66486
AC149475.2_FG007	3.6113366667	12.4525666667	9.5641266667	4.32232
AC149810.2_FG003	0	0.0038179	0.0046388333	0
AC149810.2_FG004	0	0	0	0
AC149810.2_FG008	0.0187522	0	0.0540267333	0.0269736667
AC149818.2_FG001	3.6318766667	3.4747066667	4.6485733333	1.3632206667
AC149818.2_FG004	31.7578333333	26.9895333333	37.0143666667	22.1947666667
AC149818.2_FG005	2.6581966667	2.0890566667	3.1213566667	1.66663
AC149818.2_FG006	33.1931333333	21.3529333333	22.2170333333	19.2299
AC149818.2_FG007	1.62545	1.107383	1.3441833333	1.4229333333
AC149818.2_FG008	1.85165	1.1006336667	1.3997333333	1.1906753333
AC149818.2_FG009	0	0	0.0386543333	0
AC149828.2_FG002	22.5706	15.936	22.0163	9.2642033333
AC149828.2_FG004	0	0	0	0
AC149828.2_FG005	0	0.0178823	0.0427909667	0
AC149829.2_FG002	118.5671666667	64.404	150.7963333333	30.3875666667
AC149829.2_FG003	6.0009366667	5.55163	6.2723233333	3.76011
AC149829.2_FG004	0	0	0	0
AC149829.2_FG006	49.8694333333	33.8891333333	46.1573	36.4965666667
AC150739.3_FG001	2.5815233333	2.06334	2.33609	1.5459933333
AC152495.1_FG002	0.0147713667	0.0426372333	0.0100984667	0.0296793
AC152495.1_FG003	0.0975354	0.1063696667	0.0381809	0.1419043
AC152495.1_FG010	0	0.0054982333	0.0045977	0.0161687333
AC152495.1_FG011	0	0	0	0
AC152495.1_FG012	0	0	0	0
AC152495.1_FG013	0	0	0.0070627667	0.0070633
AC152495.1_FG015	0	0	0	0
AC152495.1_FG017	0.8701933333	0.9292123333	0.5620356667	0.7833856667
AC155352.2_FG001	0	0	0	0
AC155352.2_FG010	0	0	0	0
AC155376.2_FG002	0	0	0	0
AC155376.2_FG004	0.623854	0.6673076667	1.2875593333	0.549048
AC155376.2_FG005	6.36803	6.27296	4.9062366667	4.33873
AC155377.1_FG001	11.5406	7.2662833333	10.65251	5.7539233333
AC155377.1_FG002	3.77485	3.3599166667	5.0626066667	2.79392
AC155390.2_FG002	0.378331	0.6145323333	0.851677	0.4662953333
AC155434.2_FG001	0	0.0376263333	0.0397722667	0.063765
AC155434.2_FG003	0	0	0	0
AC155434.2_FG004	25.5723	20.4755333333	24.2262666667	15.7980333333
AC155434.2_FG005	0.4357113333	0.2370705667	0.3536318	0.3846106667
AC155434.2_FG006	1.0512606667	1.2875494833	2.350618	1.3638723333
AC155496.2_FG009	29.8516333333	19.5648666667	30.3315	16.5238666667
AC155610.2_FG007	0.1218678333	0.0256622	0.0154101	0.0392628333
AC155610.2_FG009	32.367	21.1575866667	65.5981666667	43.3073333333
AC155622.2_FG001	32.6969	22.6905333333	41.8507666667	19.879
AC155622.2_FG004	14.8029666667	13.6055333333	20.6511333333	10.7928533333
AC155624.2_FG006	3.2943633333	3.45584	4.1340833333	2.4670633333
AC155624.2_FG011	22.8767	17.9404333333	15.9859333333	20.0743333333
AC159612.1_FG007	0.520507	0.4305016667	1.1157473333	0.4272856667
AC165171.2_FG002	0.1780624667	0.258659	0.2088911667	0.2899909333
AC165178.2_FG004	2.0393	1.1380366667	1.4398	2.2261933333
AC166636.1_FG007	15.9950666667	1.3628366667	23.5325666667	7.3164033333
AC166636.1_FG008	2.8631666667	1.6468116667	2.24156	2.2004033333
AC166636.1_FG009	0.0607683333	0.1160215	0.1573452	0.0242591333
AC177831.3_FG004	0	0	0	0
AC177833.2_FG001	0	0	0	0
AC177837.3_FG002	0	0	0	0
AC177838.2_FG015	0	0	0	0
AC177844.2_FG003	0	0	0	0
AC177850.2_FG003	0.0830729667	0	0.0649600667	0
AC177850.2_FG005	3.56579	2.92049	3.2223533333	1.92081
AC177860.4_FG002	0	0	0	0
AC177890.3_FG005	0.0760516667	0.1929876667	0.287731	0.0785603333
AC177893.3_FG003	0	0	0	0
AC177893.3_FG006	0	0.0969563333	0	0
AC177897.2_FG002	5.50069	4.9778866667	8.59594	6.26289
AC177897.2_FG022	0	0	0	0
AC177897.2_FG029	0	0	0	0
AC177899.2_FG009	0.152728	0.1687233333	0.338465	0.1603293
AC177899.2_FG012	0	0	0	0
AC177900.4_FG001	0	0	0	0
AC177905.2_FG001	0	0	0	0
AC177905.2_FG003	0	0	0	0
AC177908.3_FG002	9.2937066667	6.82779	14.2177333333	7.3817
AC177908.3_FG003	0	0	0	0
AC177908.3_FG006	0	0	0	0
AC177911.4_FG005	0	0	0	0
AC177920.3_FG008	0	0	0	0
