Gene	Maternal.transfer.zone_8DAP	Maternal.transfer.zone_14DAP	Maternal.transfer.zone_20DAP	Basal.endosperm.transfer.layer_8DAP	Basal.endosperm.transfer.layer_14DAP	Basal.endosperm.transfer.layer_20DAP
GRMZM2G067315	22227.387825	11740.02929	3039.1384295	784.5659418	769.6225304	88.78602351
GRMZM2G406552	1379.6238321	10246.55801	11749.25818	65865.918185	132183.4102	212765.1447
GRMZM2G003762	2307.467542	6436.4322155	2449.723801	965.0655094	1294.384399	478.8619234
GRMZM2G031317	2499.08087	7166.742206	7805.5917895	263.7619994	578.60634405	313.45313115
GRMZM2G092125	5808.0745685	6395.28989	8058.513779	2481.1206845	903.42600995	585.19599335
GRMZM2G044174	887.74200465	5244.4449475	6453.6143125	138.56302765	664.96676145	305.6421841
GRMZM2G150091	53513.253525	5468.7667905	422.20693415	35937.871605	1403.167467	69.91152199
GRMZM2G312877	798.3583081	3619.290948	1445.4154595	290.79343315	637.7936783	143.87056045
GRMZM2G026980	760.81307305	3391.1028285	1124.8857315	148.119943005	430.2154299	161.89356035
GRMZM2G472248	867.8112878	3569.2656255	2136.538035	592.3265671	730.87292985	415.44808755
GRMZM2G015605	2481.005452	3351.3591795	2448.5953945	1645.48633	1720.5756835	2752.196038
GRMZM2G118037	1972.4631725	2750.7432475	1922.6467935	967.17751135	1411.337472	2280.0833145
GRMZM2G080603	9087.9322325	2831.3741665	1196.011127	5880.647599	3403.6916585	2520.5557965
GRMZM2G086294	17.487743183	2626.984313	312.4712624	0	1572.9127975	453.7990201
GRMZM5G872141	756.7573718	2741.650175	2237.0667375	187.973478	263.08873945	122.4844059
GRMZM2G028129	2287.8315245	2359.4614115	833.6480489	1136.1183705	573.45990715	134.47867695
GRMZM2G368827	4092.7629895	2495.008951	1388.699143	6365.055563	505.67480745	194.54355845
GRMZM2G060429	21.540838895	2322.7269275	99.361888555	25.697099865	765.04430225	243.4429662
GRMZM2G098298	2577.8249125	2332.1641195	2667.7912435	1957.7094605	379.6657547	268.62160325
GRMZM2G087413	190.59016285	2003.735791	2130.7304475	6842.004579	14201.75119	25113.178165
GRMZM2G165901	1874.586926	2169.476869	1074.1220155	1101.61247	1797.145732	1384.0168935
GRMZM2G364748	283.6936877	2038.1104275	724.11934685	257.9734246	352.62800665	137.33900005
GRMZM2G161154	1491.8737115	1978.4325945	2352.159806	433.7036924	1249.829699	1672.4124035
GRMZM2G013461	1176.0428485	1933.864892	1411.0654295	855.5151133	575.7439795	426.15039815
GRMZM2G056431	1043.779659	1787.833708	1460.6418175	303.17428115	258.88533485	163.21311795
GRMZM2G122437	52.42724031	1808.7964635	163.79990055	317.17960265	1566.5828325	1150.3371585
GRMZM5G851654	2439.9160565	1746.9230895	847.8377561	1020.0269053	826.85445395	659.21697625
GRMZM5G897740	122.07598245	1757.4932925	2447.501756	4517.567794	17855.766435	32272.503935
GRMZM2G175976	377.51990065	1709.921532	4827.9352005	6781.5896415	14082.332915	36766.795985
GRMZM2G148925	1639.2874	1636.096733	1123.2122552	1344.2664335	570.1343878	562.1435099
GRMZM2G382673	1110.436704	1504.4460245	2375.4821865	483.39023685	1180.539287	1970.73769
GRMZM2G326111	1598.1582255	1429.362871	2835.1475125	2030.4447765	1706.82177	1796.4923715
GRMZM2G378106	307.09072315	1362.3960105	495.9394438	539.040092	359.58028345	98.81161741
GRMZM2G100018	8.590838425	1444.9846325	147.061673495	11.926031705	516.07183775	167.0826339
GRMZM2G360339	2008.280441	1489.4012185	1364.767348	392.7356551	2161.112716	1411.0003095
GRMZM2G129019	117.80822955	1318.4609595	1392.776761	9.274412095	144.1083654	64.29351122
GRMZM2G102471	1148.541017	1193.3893795	1877.036611	1028.65740975	1874.593273	3132.0559905
GRMZM2G073465	1045.1296295	1191.768416	619.57243935	785.1864047	198.0729664	40.69359729
GRMZM2G077845	992.38975675	1299.759537	799.36176045	813.4773096	1815.5588345	2021.0715245
AF546188.1_FG005	1.9954748505	1175.622781	73.105436695	0	320.50182805	83.751942715
GRMZM2G069528	641.2309152	1069.05909835	1111.2401235	151.4394253	207.56981065	92.480869225
GRMZM2G093032	288.7446879	1141.1402575	1565.609223	116.4761904	142.82200745	69.133282475
GRMZM2G171430	1305.83364	1315.2422975	2011.292379	575.55155645	872.7886431	1245.001205
GRMZM2G369839	602.72177505	1146.4221685	3823.224477	489.64424305	438.27475375	598.9987026
GRMZM2G430807	405.3165743	1160.113049	382.55817595	5.9726336	33.125575995	4.498408506
GRMZM2G088511	1403.6225085	1203.1842905	2514.186511	489.72573985	1076.19908795	1024.5638265
GRMZM2G138727	7.1370010565	1066.3754065	66.474824845	28.681683095	606.0124538	141.4742377
GRMZM2G007276	418.6389767	1295.6632155	1225.058939	105.0900788	731.48234035	481.255961
GRMZM2G046532	201.23500365	1063.886522	512.66934425	4565.7639225	11694.502391	8905.6843065
GRMZM2G700791	135.06101729	1159.4707285	1205.8118315	4157.025338	5369.9190785	919.35991655
AC231745.1_FG003	867.80829565	1115.285776	1818.393583	77.63011167	170.79870535	171.8324601
GRMZM2G087094	597.11248325	1063.0955885	1218.0488765	372.5290648	176.36232315	59.80162078
GRMZM2G177828	1002.2149697	976.1885138	932.2714306	410.23384425	1041.8104434	1204.066465
GRMZM2G132000	917.20816045	1145.037819	874.44068925	380.5503934	509.4067713	787.6006729
GRMZM2G006704	924.21245735	1149.0680935	1496.8421945	191.0168808	1063.8925281	698.67834925
GRMZM5G815009	1215.1689645	1044.291784	936.0508624	403.3552937	286.95286155	259.4774688
GRMZM2G042008	642.89905155	1049.7150205	1330.258409	927.7826876	1006.7963504	993.17699715
GRMZM5G800112	960.60636805	1037.494696	849.4152762	439.0611025	559.22602695	608.59652545
GRMZM2G080466	645.27437095	910.08812025	474.4569385	289.7225819	221.13413895	155.91436115
GRMZM2G134054	229.87215705	1024.544288	175.622835	397.19305775	284.54202675	61.35071411
GRMZM2G072219	248.33403115	759.55207825	617.8726105	8001.11763	3862.4058385	2922.7226965
GRMZM2G053720	305.319477	934.655312	318.4283167	106.808097155	213.4145018	66.532011195
GRMZM2G066546	237.2679246	1092.7334643	1268.485623	5569.3143485	9053.748007	6283.011197
AF546188.1_FG007	0	990.05172255	244.4842977	0	302.36818505	113.367411
GRMZM2G052869	285.97135305	991.17050515	782.70598955	197.4679973	3503.514135	3560.515519
GRMZM2G073535	937.29352555	852.38577565	498.03971245	230.577017	364.46407425	292.109899
GRMZM2G096695	601.41678485	996.06814135	1047.1516784	259.0718856	560.9712974	322.5796398
GRMZM2G181371	670.2271373	953.7864112	395.0919601	146.5915136	267.49618955	45.399279745
GRMZM2G003789	833.168846	1030.05699475	979.0202978	943.28394885	159.8430333	92.672539635
GRMZM2G121700	1149.787048	897.7358868	1340.4599655	1048.1840115	254.3709993	269.47802295
GRMZM2G154007	201.09207835	812.10057925	315.19139235	85.776230985	124.7878472	31.9424626
GRMZM2G092146	47.132794825	990.30219175	62.231148745	10.904386753	90.666367015	4.024620922
GRMZM2G097059	461.52815495	858.7411165	1161.801139	103.48551501	112.66662895	96.63366503
GRMZM5G817173	471.7557341	905.0395402	822.6068747	564.08498595	138.6584748	50.94400289
GRMZM2G123896	463.77566115	900.4651127	102.9574618	186.23673435	109.38670184	12.1531742615
GRMZM2G181376	625.96909095	903.5558781	361.43468225	137.4219609	252.93950085	42.98438997
GRMZM2G152477	418.4366465	742.41515125	575.4146575	626.9382663	342.2254288	383.76631805
GRMZM2G082799	322.46599565	801.9240197	592.40536425	7674.4319985	7658.1714305	5042.1862655
GRMZM2G104876	676.4844516	859.83445245	963.84067605	419.02061465	386.01960495	296.5871535
GRMZM2G121820	1077.542683	792.8637151	520.5761456	456.97246145	199.739968	150.2437545
GRMZM2G105996	822.8302875	831.7368799	1400.038967	495.1289549	687.7681416	814.28266735
GRMZM2G052562	1063.6724724	846.4101339	633.91510595	347.64347295	90.03737938	23.73887098
GRMZM2G134797	461.59190965	890.57685845	930.6317061	195.3727583	621.4104833	433.53103645
GRMZM2G176375	830.9297987	921.95981345	1179.1985645	719.2221014	220.43120175	143.7999861
GRMZM2G456452	14.450503811	817.9499743	1053.5510982	1.472744362	107.50034025	68.578615385
GRMZM2G067707	725.35143615	855.7711771	1254.4592235	134.0588256	554.86905365	590.18807845
GRMZM2G132162	146.79690945	728.7941783	817.4298092	5207.4273895	5898.7782495	4695.892408
GRMZM2G166141	93816.24378	931.2951664	654.03884845	95700.808855	369.1072601	38.418753565
GRMZM5G858653	122.62887155	772.7771752	1094.2661505	78.070330205	151.50030795	106.10898985
GRMZM2G091445	188.18248385	711.50782665	996.06200125	5967.436063	6124.674293	5138.265499
GRMZM2G153977	127.78917095	744.02433725	500.74356155	135.60520515	301.99594185	157.28038625
GRMZM2G159397	444.89161715	708.53040925	790.975766	89.119680255	149.6019046	61.600617875
GRMZM2G048129	61.11959685	739.9471902	2103.6474105	13.843757847	168.98728955	235.5792024
GRMZM2G074479	377.5677361	719.11720305	761.69912195	327.21116395	435.01155555	293.35412225
GRMZM2G041258	319.68175725	660.1867016	1168.1931465	181.91482665	253.7490555	213.9154209
GRMZM2G162535	549.2588655	852.99981255	1459.2183015	83.235630185	165.7734083	117.24797771
GRMZM5G895313	1442.6638475	637.3941465	898.5260938	620.33712855	395.772143	281.4661612
GRMZM2G152655	434.7490176	622.15494235	325.93337625	13024.3559	4267.0122255	1516.913512
GRMZM2G022538	709.7050766	764.87879105	474.06524435	179.73018415	75.95083259	36.984042215
GRMZM2G020940	965.0523012	737.53064925	248.2906024	472.63147125	240.21202475	134.5428209
GRMZM2G166281	461.20582835	739.20524945	683.7528528	268.8596969	110.18772735	43.852043685
GRMZM2G059029	305.4383026	842.87523345	840.75979645	40.839846205	83.506404475	47.57927188
GRMZM2G158807	1672.3248545	747.5080023	492.99577205	1543.7033055	177.91335565	86.00435418
GRMZM2G169372	628.9372393	821.1206088	518.14075615	47.710353085	178.2352879	236.53344045
GRMZM2G142802	271.3633851	755.0217968	206.15799325	105.69924665	166.6265597	36.233369785
GRMZM2G130173	740.9730736	767.7422642	993.1451926	55.729003905	76.99839666	15.42747183
GRMZM2G073290	107.481362215	607.9300554	1029.3174176	3310.67268	2662.954771	6478.4453015
GRMZM5G835323	829.74382365	596.25555485	390.96251195	472.39370505	365.4895374	287.0104021
GRMZM2G090865	73.787346135	711.545406	110.907904345	19.9855639	160.8879129	44.965399385
GRMZM2G424053	474.02084285	588.35315965	712.236862	139.3803504	166.9838075	161.3794751
GRMZM2G027392	808.1355426	701.9024373	1344.8941965	909.12858185	3775.432077	7299.7135335
GRMZM2G044625	1.395868398	643.97106	58.25411146	5.045329905	208.88029885	63.421195545
GRMZM5G812298	342.3852153	610.24088675	3538.726269	153.24341669	371.80496405	141.82202145
GRMZM2G099960	1138.54085435	674.27396865	682.3918801	165.414390635	78.69098537	25.61157864
GRMZM2G409726	674.48934545	660.2422843	468.85968835	764.88260145	620.8278357	985.9969418
GRMZM2G082222	525.2370329	648.8200304	573.88889075	166.4529057	211.0998057	168.85474235
GRMZM2G157018	473.8997804	568.7310841	634.629501	372.91711635	579.32336765	404.48857
GRMZM2G119782	612.06888895	645.17469995	624.65136295	307.3977549	798.5591267	717.1552012
GRMZM2G128832	240.1196759	1003.5845171	314.4641477	5794.3316065	4111.12369	1466.1013575
GRMZM2G356439	89.933912615	613.7584193	609.4884523	126.62976075	127.219807895	62.35872216
AC205471.4_FG007	1045.56063245	646.69306925	952.9657848	1187.7646105	1032.6079765	698.99266265
GRMZM2G175423	43.075534725	667.58235525	552.9982166	750.0762062	5115.641065	5552.418477
AC216067.3_FG002	731.1951255	695.3706929	1092.833803	265.42227355	234.93259045	269.0993992
GRMZM2G077233	339.6788829	560.26468485	516.21007445	206.57228035	39.224152335	18.14813729
GRMZM2G092535	242.04729725	631.80460115	775.73283645	161.29989735	438.3531189	330.6840912
GRMZM2G108474	472.74393195	627.9091477	625.54134055	310.81265115	670.2158654	542.6904843
GRMZM2G175273	495.6290173	630.845636	802.18042755	188.58322135	549.6021657	373.75586325
GRMZM2G046782	108.69365245	696.92786505	166.08211	71.07947898	191.26470955	27.718158925
GRMZM2G101859	751.49733715	759.33100395	1332.762554	389.45879865	295.98261585	470.64475075
GRMZM5G803318	422.20495365	610.868662	511.44685335	240.8348026	139.082452	62.666661005
