Gene_ID	Leaf.base	Minus.1cm	Plus.4cm	Leaf.tip
GRMZM2G181227	3.412444267	3.16437442	1.287909035	0.037320722
GRMZM2G146885	14.17287135	11.3577013	2.778514642	2.226818648
GRMZM2G139463	6.866752401	5.373925806	1.388843962	1.062745344
GRMZM2G015295	1349.446347	447.4635291	29.43627879	29.2643755
GRMZM2G111909	47.95903081	27.5256729	1.656555758	0.949824883
GRMZM2G078097	4.433627458	0.928492841	0.063329249	0.034255945
GRMZM2G450498	36.15941083	9.45235616	0.700105077	0.194759794
GRMZM2G413652	25.06985426	15.91342458	5.372151214	3.618914949
GRMZM2G090087	21.00891969	18.02318412	17.49531186	10.74302155
AC217811.3_FG003	17.22135143	9.735605915	7.888305964	4.701542903
GRMZM2G043887	5.658235748	2.854638859	0.176351597	0.117836922
GRMZM2G147256	16.10110218	4.848077552	3.334421173	1.613647677
GRMZM2G035552	4.049566142	2.139007269	0.663294695	0.255062697
GRMZM2G090842	3.879787009	1.514641178	0.458203034	0.384595409
GRMZM2G359822	10.72572804	7.558618812	2.303983617	0.610030548
GRMZM2G365160	145.5719792	100.5196543	22.23791985	6.106512498
GRMZM2G058659	68.69696196	49.26884576	4.713103416	4.425868114
GRMZM2G036861	129.4039617	16.25758815	8.627519037	3.808094387
GRMZM2G314652	22.16679689	11.85360124	1.333121193	0.689756968
GRMZM2G028369	54.50465482	51.63992411	18.76620787	13.55358811
GRMZM2G115841	25.1124951	9.550042139	6.852615256	1.787161109
GRMZM2G129642	13.37411163	1.262250363	0.590356674	0.322661091
GRMZM2G106950	16.56646105	2.261995633	0.477542029	0.426213463
GRMZM2G145870	44.05656059	19.95148794	8.760471923	7.962516642
GRMZM2G122198	6.567939818	0.639164773	0.25760796	0.041803453
GRMZM2G046191	23.90114775	16.35732153	13.04356056	9.075401285
GRMZM2G085117	6.413848735	1.746901389	2.881768234	1.250937784
GRMZM2G365961	29.69513596	18.44836796	3.219259151	1.567786357
GRMZM2G149751	725.234806	279.2167556	14.9819128	14.27463596
GRMZM2G165747	56.29013149	38.35330013	5.028617822	4.154994728
GRMZM2G453616	52.94597831	36.04762615	4.729871526	3.908149704
AC199526.5_FG002	624.3505534	364.1603903	87.09610999	74.26221085
GRMZM2G054123	470.9534418	261.8175753	51.6901208	36.99487082
GRMZM2G024686	13.08464302	9.024900944	12.05070252	5.150368825
GRMZM2G136712	17.43314864	7.374381814	1.803165104	0.783247554
GRMZM2G076885	29.91389124	23.65520234	3.249093225	2.899864704
GRMZM2G048497	30.41587742	19.56622774	9.351478244	8.285917219
GRMZM2G007647	27.43268304	20.47990061	2.906004523	1.598827108
GRMZM2G055899	22.84124994	10.93441286	13.44335514	10.05177608
GRMZM2G004382	191.0732398	62.5518815	28.16235962	25.82372034
GRMZM2G569855	9.862647128	6.419796867	4.392008909	3.733270655
GRMZM2G130062	16.19771424	14.85694143	14.02651214	5.958258871
GRMZM2G053999	39.73240385	39.43091458	18.48758172	12.56188545
