Gene_ID	Internode.1_Rep.1	Internode.1_Rep.2	Internode.1_Rep.3	Intnode2_Rep.1	Internode.2_Rep.2	Internode.2_Rep.3	Internode.3_Rep.1	Internode.3_Rep.2	Internode.3_Rep.3	Internode.4_Rep.1	Internode.4_Rep.2	Internode.4_Rep.3
Sobic.K044505	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K044420	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K044419	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K044418	0.84	4.49	4.36	2.16	0.48	0.92	2.02	0.63	1	1.85	1.16	1.2
Sobic.K044417	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K044416	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K044415	0	0	0	0	0	0	0	0	0	0	0	0.16
Sobic.K044414	1.1	0.64	0.88	0.33	0.5	0.94	0.09	0.17	0	0	0	0
Sobic.K044413	0.23	0.22	0.36	0.58	0.67	0.61	1.01	0.6	0.77	0.55	0.34	0.68
Sobic.K044412	0.65	0.52	0.36	0.12	0	0	0.65	0.5	0.13	0.69	0.41	0.1
Sobic.K044411	0.35	0.6	0.39	0.2	0.4	0.21	0.32	0.3	0.73	0.75	0.84	0.42
Sobic.K044410	1.25	0.82	1.59	0.9	0.69	0.76	0.66	1.96	0.83	1.7	1.49	1.14
Sobic.K044409	0	0	0.05	0.05	0	0.05	0	0	0.05	0	0	0
Sobic.K044408	0.35	0.84	1.14	1.94	1.59	1.28	0.69	1.4	1.16	2.14	1.11	1.1
Sobic.K044407	898.15	1644.37	1773.99	1297	785.88	915.61	700.51	594.41	445.9	633.6	644.61	854.29
Sobic.K044406	0.55	0.4	0.67	0.46	0.39	0.32	0.33	0.08	0.32	0.29	0	0
Sobic.K044405	0.12	0.08	0.4	0.05	0.09	0.19	0.1	0.05	0.1	0.17	0.12	0.12
Sobic.K044404	6.23	9.05	7.98	7.37	7.94	8.5	8.71	11.17	11.06	5.88	8.64	14.46
Sobic.K044403	0.11	0.11	0.31	0.32	0.19	0	0	0.2	0.2	0.24	0.05	0.16
Sobic.K044402	0.21	0.2	0	0	0	0.12	0.13	0.12	0.25	0	0.1	0.2
Sobic.K044401	0.26	0.57	0.22	0.15	0.3	0.38	0.08	0.08	0.15	0.35	0.25	0.25
Sobic.K044400	0	0	0	0.14	0	0	0.15	0.42	0	0.13	0.35	0
Sobic.K044300	0.16	0.08	0.17	0.09	0.04	0	0	0.04	0	0	0.15	0
Sobic.K044200	0	0	0.07	0	0	0	0	0	0	0	0	0
Sobic.K043800	0	0	0	0	0	0	0.09	0	0.17	0	0.07	0
Sobic.K043700	0	1.54	0.29	0.3	0	0	0.32	0	0	0	0	0
Sobic.K043600	0	0	0.1	0	0	0	0	0	0	0	0	0
Sobic.K043500	0	0	0.1	0	0	0	0	0	0	0	0	0
Sobic.K043400	24.69	21.76	23.14	31.17	30.2	29.83	23.11	25.27	25.77	20.66	19.99	21.6
Sobic.K042700	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K042600	0	0	0	0	0.09	0	0	0.1	0	0.09	0	0
Sobic.K042000	14.09	12.65	13.28	12.25	13.25	13.1	23.85	19.36	19.74	17.46	16.62	18.14
Sobic.K041900	67.68	66.63	60.62	104.41	99.5	89.04	119.32	105.81	114.08	71.61	71.57	73.68
Sobic.K040800	0.66	0.57	1.37	0.33	0.67	0.51	0.35	0.76	0.95	0.39	0.21	0.56
Sobic.K040200	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K033000	2.85	2.35	3.71	1.89	7.14	3.46	3.41	3.77	4.12	2.8	3.14	3.71
Sobic.K032900	0.31	0.3	1.01	0.6	0.88	0.54	1.38	0.62	0.72	0.33	0.22	0.58
Sobic.K032600	0.2	0.32	0.33	0.3	0.08	0.08	0.12	0.08	0.04	0.14	0.03	0.03
Sobic.K032500	0	0	0	0	0.28	0	0	0	0	0	0	0
Sobic.K032400	0.35	0.34	0	0.39	0	0	0	0	0	0	0	0
Sobic.K032350	0.93	1.03	0.73	1.04	0.61	0.47	0.16	0.61	0.63	0.14	0.51	0.38
Sobic.K032300	0.19	1.46	0.41	0.63	0.43	0	0.68	0.65	0.45	0	0.18	0
Sobic.K032200	0.06	0.22	0.13	0.13	0.07	0.2	0	0.07	0	0.06	0	0.11
Sobic.K031900	0.25	0.24	0	0.27	0.56	0	0	0	0	0	0	0
Sobic.K031800	12.36	12.07	12.8	10.61	9.58	12.08	10.91	10.13	12.52	8.01	9.68	10.4
Sobic.K031500	15.25	11.91	18.72	6.02	6.3	9.67	10.94	8.9	7.87	8.58	11.03	12.05
Sobic.K031400	4.7	11.4	11.87	8.31	3.56	4.26	2.79	1.87	1.71	2.02	2.07	1.91
Sobic.K031300	0.49	0.16	0.09	0	0.09	0.1	0.1	0	0	0	0	0
Sobic.K031200	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K031100	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K030700	0.22	0.21	0	0.49	0	0.5	0	0.25	0	0	0	0
Sobic.K030200	0	0	0	0.14	0.14	0	0	0.14	0.15	0.13	0	0
Sobic.K030100	0.2	0.38	0.43	0	0	0.11	0	0	0.35	0	0	0
Sobic.K030000	0	0	0.1	0	0	0	0.11	0.11	0	0	0.09	0
Sobic.K029900	0	0	0	0	0	0	0	0	0	0	0	0.15
Sobic.K029400	0	0.67	0.76	0.39	0	0	0.41	0	0.41	0	0	0.33
Sobic.K028900	0	0	0	0	0	0	0.28	0	0.07	0	0	0
Sobic.K028600	23.77	21.86	22.9	22.04	20.49	22.77	21.42	18.53	19.73	15.04	16.97	16.88
Sobic.K028300	0.52	0.45	0.4	0.17	0.41	0.36	0.19	0.18	0	0.05	0.05	0.2
Sobic.K028200	0	0.31	0.09	0	0	0.37	0.05	0.18	0.28	0.21	0.08	0.15
Sobic.K028000	0.61	2.12	2.62	1.51	1.46	3.79	1.88	2.56	3.64	1.43	1.81	1.51
Sobic.K027900	0.08	0.24	0.18	0.09	0.1	0	0	0.48	0.1	0.45	0.4	0.32
Sobic.K027700	0	0	0	0	0	0	0	0	0	0	0	0
Sobic.K026900	0	0.05	0	0	0	0	0	0	0	0	0	0.05
Sobic.K026800	0.62	0.4	0.68	1.4	0.71	0.49	3.24	0.24	0.25	0.88	0.6	0.99
Sobic.K026400	0.86	1.25	1.18	0.56	0.58	0.76	0.69	0.66	0.77	0.99	0.35	0.27
Sobic.K026200	0	0	0	0.92	0	0.48	0.49	0	0	0	0	0.39
Sobic.K025900	0	0	0	0	0	0	0	0	0	0	0	0
