Gene_ID	PhyB-mutant_58M_6DAP_Means	PhyB-mutant_58M_7DAP_Means	PhyB-mutant_58M_8DAP_Means	Wildtype_100M_6DAP_Means	Wildtype_100M_7DAP_Means	Wildtype_100M_8DAP_Means
Sobic.001G000100	0.0524131332	0	0.0209341795	0.1027453265	0.1843113857	0.1395962119
Sobic.001G000200	9.4664407576	13.2422867182	15.4899851433	9.3934840323	13.1925739156	14.1648004745
Sobic.001G000300	0.3437880112	0.2157558881	0.7274666589	0.3067817631	0.4813122344	0.5679344051
Sobic.001G000400	8.792382076	8.9386216433	8.7425470277	9.2289082213	9.5036229973	9.0877280528
Sobic.001G000500	0	0	0	0	0.0718781248	0
Sobic.001G000600	1.1526033415	0.8144916042	0.9251761621	0.8237261749	1.9187338123	2.6836273964
Sobic.001G000700	2.8796056527	3.8100146098	3.5920975111	6.3937639737	7.174037483	9.4467745651
Sobic.001G000800	17.2689047689	20.1161451383	21.4420236389	18.5670733586	22.4424100065	22.9313749075
Sobic.001G000900	0.0340356284	0.0213055392	0.0609041636	0.0796339513	0.0972923841	0.1201541221
Sobic.001G001000	0	0	0	0.0893376646	0.0324577857	0.1115497458
Sobic.001G001100	0	0.0279189622	0	0.113132558	0.0326531513	0.0514205453
Sobic.001G001200	1.7298089805	1.4507836813	1.2388330695	1.5454225211	0.9847882382	1.1154195449
Sobic.001G001300	2.9467417056	3.4906413067	3.5002509802	3.5306600849	5.2359359994	5.8166600838
Sobic.001G001400	9.1998614287	11.0474999858	13.7979227341	9.25381255	12.1684622152	13.096313793
Sobic.001G001500	5.5324050489	6.7210358876	9.8035207732	5.5259386735	7.0580005469	8.230908178
Sobic.001G001600	0	0	0	0	0	0
Sobic.001G001700	0.6066067639	0.444779437	0.6697159457	0	0.0454403712	0
Sobic.001G001800	0.0548371778	0	0	0	0.0577556753	0
Sobic.001G001900	9.560038259	11.8945739956	15.2182689688	7.1346287334	8.3064411574	8.4620202852
Sobic.001G002000	20.9436019713	24.5090496694	27.4367670468	19.444806538	21.5263865806	22.6844601135
Sobic.001G002100	4.6061183226	6.6372276917	10.0197631491	4.896025877	6.2191201893	6.5285911218
Sobic.001G002200	0.0061965497	0.0049967715	0.009366771	0	0	0.0043950838
Sobic.001G002300	0	0.0433001514	0.0098094434	0.014499058	0.0125544744	0
Sobic.001G002400	0.018697262	0	0.0221886479	0	0.0085956021	0.0075467681
