Sorghum bicolor	Brachypodium distachyon	Oryza sativa	Panicum virgatum	Setaria italica	Zea mays	
Sobic.001G000100	Bradi2g42460		Pavir.4KG278600, Pavir.4KG276600	Seita.9G000900	GRMZM2G007948
Sobic.001G000200	Bradi1g00450	LOC_Os11g37690	Pavir.4KG276700, Pavir.4KG278500	Seita.9G001000	GRMZM2G007675
Sobic.001G000300					
Sobic.001G000400				Seita.9G001100	GRMZM2G391815, GRMZM2G319138
Sobic.001G000501					
Sobic.001G000700	Bradi1g00470	LOC_Os11g37730	Pavir.9NG019500, Pavir.4KG279000	Seita.9G001200	GRMZM2G077183
Sobic.001G000800	Bradi1g00480	LOC_Os03g64400	Pavir.4KG279100, Pavir.9KG025700	Seita.9G001300	GRMZM2G077222
Sobic.001G000900	Bradi1g00482	LOC_Os03g64390	Pavir.J455800, Pavir.5NG014200, Pavir.9KG025600	Seita.9G001400	GRMZM2G469002, GRMZM2G377477
Sobic.001G001000	Bradi1g00485	LOC_Os03g64380	Pavir.9KG025500, Pavir.J115700	Seita.9G001500	GRMZM2G077535
Sobic.001G001066		LOC_Os01g40460, LOC_Os04g45890		Seita.9G276500	AC211269.3_FGP007
Sobic.001G001132	Bradi1g00485	LOC_Os03g64380	Pavir.5NG014100		GRMZM2G077535
Sobic.001G001200	Bradi1g00491	LOC_Os03g64370	Pavir.9KG025400	Seita.9G001600	AC177899.2_FGP009
Sobic.001G001300	Bradi1g00530	LOC_Os03g64350	Pavir.9KG025100, Pavir.6KG264700	Seita.9G001700	GRMZM2G377487
Sobic.001G001400	Bradi1g00560	LOC_Os03g64320	Pavir.9KG025000	Seita.9G001800	GRMZM2G077596
Sobic.001G001700			Pavir.7KG099700		
Sobic.001G001800	Bradi1g00563	LOC_Os03g64310	Pavir.9NG019100, Pavir.9KG024900	Seita.9G001900	GRMZM2G089409
Sobic.001G001900	Bradi1g00567	LOC_Os03g64300	Pavir.9KG024800	Seita.9G002000	GRMZM2G036169
Sobic.001G002000	Bradi1g00580				
Sobic.001G002050					
Sobic.001G002100					
